ID,Date,Altitude_code,GD,Replication,TimeinEnvironment,Altitude,Duration,Distance,Distancemin,HighSpeedRunning,HSRmin,PlayerLoad,Playerloadmin,HRZone3Time,HRZone4Time,HRZone5Time,HRZone6Time,HRzoneTRIMP,Soreness_1,Mood_1,Nutrition_1,RPELeg,RPEBreathe,RPETech,RPESession
8,7/20/2019,1,0,1,168,11.89,98,8800,89.79591837,445,4.540816327,759.7373047,7.752421477,11.56666667,4.433333333,53.95,5.3,253.1471667,7,7,7,95,95,95,95
8,9/15/2021,1,0,2,168,11.89,98,9887,100.8877551,787,8.030612245,987,10.07142857,NA,NA,NA,NA,NA,6,4,7,88,88,88,88
10,7/4/2018,1,0,1,168,11.89,95,10545,111,502,5.284210526,960.4297485,10.10978683,63.5,41.26666667,26.95,17.7,411.3,6,6,5,80,80,80,80
10,7/20/2019,1,0,2,168,11.89,98,10269,104.7857143,476,4.857142857,962.4030151,9.82043893,3.666666667,54.75,54.71666667,54.15,669.8683333,6,8,6,90,90,90,90
10,9/15/2021,1,0,3,168,11.89,98,10340,105.5102041,564,5.755102041,1175,11.98979592,NA,NA,NA,NA,NA,5,6,7,92,88,80,88
27,7/4/2018,1,0,1,168,11.89,95,9600,101.0526316,562,5.915789474,879.5108032,9.258008455,NA,NA,NA,NA,NA,6,9,6,55,40,50,40
27,7/20/2019,1,0,2,168,11.89,98,10000,102.0408163,339,3.459183673,929.6151123,9.485868493,NA,NA,NA,NA,NA,6,6,6,87,85,90,85
30,7/20/2019,1,0,1,168,11.89,78,8878,113.8205128,634,8.128205128,851.9910889,10.92296268,NA,NA,NA,NA,NA,6,7,7,81,81,81,81
64,7/4/2018,1,0,1,168,11.89,65,6613,101.7384615,387,5.953846154,725.7258911,11.16501371,NA,NA,NA,NA,NA,8,5,7,NA,NA,NA,NA
91,7/4/2018,1,0,1,168,11.89,90,9282,103.1333333,1060,11.77777778,983.2514038,10.9250156,NA,NA,NA,NA,NA,3,10,4,NA,NA,NA,NA
95,7/4/2018,1,0,1,168,11.89,95,10939,115.1473684,401,4.221052632,1007.693604,10.60730109,17.15,65.8,2.833333333,1.233333333,382.5133333,6,7,6,80,80,80,80
95,7/20/2019,1,0,2,168,11.89,98,9948,101.5102041,201,2.051020408,926.6028442,9.455131063,NA,NA,NA,NA,NA,7,7,7,80,80,80,80
109,7/4/2018,1,0,1,168,11.89,95,9838,103.5578947,650,6.842105263,869.0049438,9.147420461,45.61666667,49.2,4.433333333,32.3,534.8965,7,9,7,80,60,65,70
109,7/20/2019,1,0,2,168,11.89,98,9495,96.8877551,400,4.081632653,798.5256348,8.148220763,7.366666667,4.633333333,56.91666667,9.716666667,789.3728333,7,8,8,91,90,90,90
109,9/15/2021,1,0,3,168,11.89,98,9434,96.26530612,438,4.469387755,851,8.683673469,NA,NA,NA,NA,NA,6,6,6,90,90,90,90
137,7/4/2018,1,0,1,168,11.89,95,10163,106.9789474,813,8.557894737,915.2599487,9.634315249,17.46666667,8.116666667,0.283333333,3.683333333,77.8465,6,7,7,94,94,94,94
166,7/4/2018,1,0,1,168,11.89,71,8257,116.2957746,591,8.323943662,743.8452759,10.47669403,NA,NA,NA,NA,NA,7,9,7,80,75,77,77
178,9/15/2021,1,0,1,168,11.89,81,7981,98.5308642,463,5.716049383,792,9.777777778,NA,NA,NA,NA,NA,NA,NA,NA,80,80,80,80
188,7/20/2019,1,0,1,168,11.89,98,9556,97.51020408,413,4.214285714,963.0942993,9.82749285,NA,NA,NA,NA,NA,8,8,8,52,50,50,52
642,9/15/2021,1,0,1,168,11.89,98,10681,108.9897959,800,8.163265306,1028,10.48979592,NA,NA,NA,NA,NA,6,6,6,97,87,95,95
666,9/15/2021,1,0,1,168,11.89,98,9382,95.73469388,272,2.775510204,994,10.14285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,7/13/2019,2,0,1,71.45,1356,60,4500,75,491,8.183333333,457.7853394,7.629755657,NA,NA,NA,NA,NA,7,6,7,45,60,63,67
9,7/13/2019,2,0,1,71.45,1356,83,7103,85.57831325,421,5.072289157,831.6600342,10.02000041,NA,NA,NA,NA,NA,7,9,9,90,99,90,90
10,7/13/2019,2,0,1,71.45,1356,108,9987,92.47222222,605,5.601851852,938.9990234,8.694435402,NA,NA,NA,NA,NA,6,5,5,90,98,90,90
10,3/31/2018,2,0,2,70.4,1609.34,90,9944,110.4888889,516,5.733333333,969,10.76666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,7/13/2019,2,0,1,71.45,1356,108,9782,90.57407407,337,3.12037037,930.1463623,8.612466318,NA,NA,NA,NA,NA,7,7,7,78,85,95,80
27,3/31/2018,2,0,2,70.4,1609.34,90,9772,108.5777778,381,4.233333333,978.9798584,10.87755398,NA,NA,NA,NA,NA,5,8,8,60,70,50,45
64,3/31/2018,2,0,1,70.4,1609.34,90,8564,95.15555556,406,4.511111111,822.1599121,9.135110134,43.13333333,NA,NA,NA,13.28833333,4,9,5,61,76,70,70
84,7/13/2019,2,0,1,71.45,1356,108,10146,93.94444444,675,6.25,1013.770935,9.386767917,NA,NA,NA,NA,NA,7,10,10,90,98,90,90
89,3/31/2018,2,0,1,70.4,1609.34,64,7686,120.09375,440,6.875,763.1612549,11.92439461,42.95,22.31666667,11.21666667,11.78333333,232.1521667,6,5,6,60,85,70,50
95,3/31/2018,2,0,1,70.4,1609.34,90,10099,112.2111111,235,2.611111111,900.6741333,10.00749037,124.5,34.96666667,1.683333333,1.7,337.7258333,6,6,6,75,80,75,75
109,3/31/2018,2,0,1,70.4,1609.34,90,9732,108.1333333,403,4.477777778,950.3840942,10.55982327,82.65,42.21666667,17.78333333,7.2,372.5158333,5,9,6,80,90,85,80
137,3/31/2018,2,0,1,70.4,1609.34,90,9282,103.1333333,578,6.422222222,816.6842041,9.074268934,NA,NA,NA,NA,NA,7,6,7,93,93,93,93
166,3/31/2018,2,0,1,70.4,1609.34,75,7668,102.24,344,4.586666667,720.8934937,9.611913249,NA,NA,NA,NA,NA,8,6,3,75,70,70,70
2,12/8/2021,3,0,1,74,2200,100,9888,98.88,942.65001,9.4265001,868.20638,8.6820638,NA,NA,NA,NA,NA,3,3,7,80,85,75,85
8,12/8/2021,3,0,1,74,2200,100,8844,88.44,305.24,3.0524,909.8169,9.098169,NA,NA,NA,NA,NA,4,4,NA,75,90,75,75
10,12/8/2021,3,0,1,74,2200,78,7847,100.6025641,474,6.076923077,707,9.064102564,NA,NA,NA,NA,NA,2,2,7,85,93,93,90
11,12/8/2021,3,0,1,74,2200,67,6325,94.40298507,209.42,3.125671642,649.21114,9.689718507,NA,NA,NA,NA,NA,5,5,5,80,90,80,90
